metier;sexe;annee_naissance;random_id_client;enfant_conduite_accompagne;nombre_enfants;tranches_salaires;Tranche_valeur_residence_principale;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande.1;etat_dossier;formule;Tranche_tarif_devis
maroquinier;M;1988;50679014709;FAUX;FAUX;40 - 60K;100 - 200K;Private;z_SUV;1;11.0;z_Highly Rural/ Rural;04/03/2022;complet;dev_premium;400 - 500€
professeur de collège et de lycée;F;2004;43500582531;VRAI;VRAI;Inconnu;0 - 0K;Private;Sports Car;0;10.0;Highly Urban/ Urban;31/05/2022;complet;dev_express;200 - 300€
éducateur de la protection judiciaire de la jeunesse (PJJ);F;1937;42257733194;FAUX;VRAI;0 - 20K;0 - 0K;Private;z_SUV;5;8.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;200 - 300€
conducteur de travaux;M;1963;8109173226;FAUX;VRAI;0 - 20K;0 - 0K;Commercial;Pickup;0;10.0;Highly Urban/ Urban;20/03/2022;complet;dev_express;200 - 300€
collecteur de fonds;F;1965;24608201499;VRAI;VRAI;40 - 60K;100 - 200K;Private;Pickup;0;;Highly Urban/ Urban;02/04/2022;complet;dev_premium;400 - 500€
commerçant en alimentation;M;1970;57588020968;FAUX;FAUX;60 - 80K;0 - 0K;Private;z_SUV;0;13.0;Highly Urban/ Urban;02/01/2022;complet;dev_integral;300 - 400€
mécanicien bateaux;F;1957;46391083686;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;4;15.0;Highly Urban/ Urban;24/02/2022;complet;dev_express;200 - 300€
technicien électronicien électronicienne;M;1946;966428260;FAUX;VRAI;0 - 20K;0 - 100K;Private;z_SUV;1;1.0;Highly Urban/ Urban;05/04/2022;complet;dev_express;200 - 300€
hôtesse de l'air;F;1981;26168916935;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Panel Truck;1;13.0;Highly Urban/ Urban;21/02/2022;complet;dev_integral;300 - 400€
responsable du back office;M;1945;22421989421;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Van;0;7.0;Highly Urban/ Urban;21/03/2022;complet;dev_integral;200 - 300€
directeur d'hôpital;F;1984;28947551966;VRAI;VRAI;40 - 60K;100 - 200K;Private;Van;1;1.0;z_Highly Rural/ Rural;03/04/2022;complet;dev_integral;200 - 300€
tailleur de pierre;F;1998;13011668958;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Pickup;7;1.0;Highly Urban/ Urban;28/03/2022;complet;dev_integral;300 - 400€
rédacteur on line;F;1974;27536919727;FAUX;VRAI;40 - 60K;100 - 200K;Private;Minivan;1;5.0;Highly Urban/ Urban;21/03/2022;complet;dev_express;200 - 300€
géologue minier;M;2003;39533231961;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;0;7.0;Highly Urban/ Urban;23/05/2022;complet;dev_express;200 - 300€
conducteur de travaux  agricoles;F;1975;17908976466;FAUX;FAUX;40 - 60K;0 - 0K;Private;Sports Car;0;19.0;Highly Urban/ Urban;03/05/2022;complet;dev_express;200 - 300€
gestionnaire de données cliniques;F;2016;30847058972;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Minivan;5;8.0;z_Highly Rural/ Rural;11/04/2022;complet;dev_express;200 - 300€
sapeur-pompier;M;1974;10937542189;FAUX;FAUX;60 - 80K;300 - 400K;Private;Van;0;13.0;Highly Urban/ Urban;05/01/2022;complet;dev_premium;300 - 400€
technicien de la circulation ferroviaire SNCF;F;1967;17511789351;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Van;4;9.0;Highly Urban/ Urban;14/05/2022;complet;dev_integral;200 - 300€
dessinateur-projeteur;M;1990;10401731270;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;2;12.0;Highly Urban/ Urban;20/04/2022;complet;dev_express;200 - 300€
spécialiste de l'accessibilité numérique;M;1978;56299148209;FAUX;FAUX;60 - 80K;0 - 0K;Private;Minivan;4;;Highly Urban/ Urban;05/02/2022;incomplet;dev_premium;300 - 400€
directeur d'hôtel;F;1952;31117394907;FAUX;VRAI;60 - 80K;200 - 300K;Commercial;Pickup;0;1.0;Highly Urban/ Urban;12/05/2022;incomplet;dev_premium;+ 500€
credit manager;F;1950;6242991957;VRAI;VRAI;20 - 40K;Inconnu;Private;Van;0;1.0;Highly Urban/ Urban;22/01/2022;complet;dev_express;200 - 300€
rédacteur on line;F;1992;18024770161;VRAI;VRAI;20 - 40K;0 - 0K;Private;Sports Car;1;7.0;Highly Urban/ Urban;26/04/2022;complet;dev_express;200 - 300€
mécatronicien;F;1951;6204874594;FAUX;VRAI;+ 80K;200 - 300K;Private;z_SUV;1;15.0;Highly Urban/ Urban;17/04/2022;incomplet;dev_integral;300 - 400€
agent de propreté urbaine;F;1950;42846973628;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;0;16.0;Highly Urban/ Urban;23/03/2022;complet;dev_integral;200 - 300€
chargé de veille législative et réglementaire;F;1968;46642093050;FAUX;FAUX;40 - 60K;100 - 200K;Private;Pickup;0;8.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;200 - 300€
guide-conférencier;F;1952;18721558096;FAUX;VRAI;60 - 80K;200 - 300K;Commercial;Van;0;5.0;Highly Urban/ Urban;24/05/2022;complet;dev_integral;200 - 300€
conducteur de machines à papier;F;1942;58528279601;FAUX;VRAI;20 - 40K;0 - 0K;Private;Sports Car;0;1.0;Highly Urban/ Urban;09/05/2022;complet;dev_express;200 - 300€
assistant maternel maternelle;F;2019;49855537844;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;6.0;Highly Urban/ Urban;22/04/2022;complet;dev_integral;200 - 300€
professeur dans l'enseignement agricole;M;1972;8441617104;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;5;1.0;Highly Urban/ Urban;17/05/2022;complet;dev_express;200 - 300€
avocat;M;1954;25783398840;FAUX;FAUX;+ 80K;200 - 300K;Private;Pickup;0;7.0;Highly Urban/ Urban;01/05/2022;complet;dev_express;200 - 300€
pharmacien;M;1972;46540937078;FAUX;FAUX;0 - 20K;0 - 0K;Private;Minivan;3;5.0;z_Highly Rural/ Rural;29/05/2022;complet;dev_express;200 - 300€
assistant dentaire;M;1950;39245631859;FAUX;VRAI;20 - 40K;0 - 100K;Private;z_SUV;2;13.0;Highly Urban/ Urban;04/04/2022;complet;dev_express;200 - 300€
dépanneur en électroménager;F;1999;32701967052;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Pickup;1;3.0;Highly Urban/ Urban;27/01/2022;complet;dev_integral;300 - 400€
ingénieur frigoriste;F;2019;19063242731;FAUX;FAUX;60 - 80K;0 - 0K;Private;z_SUV;0;9.0;Highly Urban/ Urban;13/01/2022;complet;dev_integral;300 - 400€
responsable de laboratoire de recherche;M;1988;18694853339;FAUX;FAUX;+ 80K;400 - 500K;Private;z_SUV;2;12.0;Highly Urban/ Urban;08/01/2022;complet;dev_express;200 - 300€
responsable de production alimentaire;M;2013;16498308001;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;2;9.0;Highly Urban/ Urban;05/04/2022;complet;dev_integral;200 - 300€
BIM manager;F;1964;25238341382;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Sports Car;0;7.0;z_Highly Rural/ Rural;04/01/2022;incomplet;dev_integral;200 - 300€
prothésiste dentaire;F;1943;56298543754;FAUX;VRAI;60 - 80K;Inconnu;Private;Minivan;2;9.0;z_Highly Rural/ Rural;14/02/2022;complet;dev_premium;400 - 500€
ascensoriste;M;1944;112131093;FAUX;FAUX;40 - 60K;100 - 200K;Private;Pickup;0;8.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;200 - 300€
coffreur-boiseur;M;1942;33056945508;FAUX;FAUX;20 - 40K;100 - 200K;Private;Pickup;0;20.0;Highly Urban/ Urban;18/04/2022;incomplet;dev_integral;200 - 300€
coiffeur;F;1993;56557501539;FAUX;FAUX;+ 80K;0 - 0K;Private;z_SUV;1;18.0;Highly Urban/ Urban;20/04/2022;complet;dev_integral;300 - 400€
architecte des systèmes d'information;F;1950;48803530851;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Minivan;5;1.0;Highly Urban/ Urban;10/05/2022;complet;dev_express;200 - 300€
responsable de laboratoire de contrôle en chimie;M;1971;11485528230;FAUX;FAUX;40 - 60K;0 - 0K;Commercial;Panel Truck;4;11.0;Highly Urban/ Urban;24/01/2022;complet;dev_premium;300 - 400€
ingénieur recherche et développement en agroalimentaire;F;1970;37762854951;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;4;6.0;Highly Urban/ Urban;01/02/2022;complet;dev_express;200 - 300€
formulateur;M;1962;35765295314;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;1;1.0;Highly Urban/ Urban;20/04/2022;complet;dev_premium;300 - 400€
agent de constatation des douanes;M;1940;39205456930;FAUX;FAUX;0 - 20K;0 - 0K;Private;Sports Car;0;3.0;z_Highly Rural/ Rural;02/01/2022;complet;dev_express;200 - 300€
administrateur judiciaire;M;1959;37935569191;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Van;0;8.0;z_Highly Rural/ Rural;18/02/2022;complet;dev_express;200 - 300€
responsable de production alimentaire;F;1959;31981667676;FAUX;VRAI;20 - 40K;Inconnu;Commercial;z_SUV;0;4.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;200 - 300€
auxiliaire spécialisé vétérinaire;M;1936;49245347572;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Minivan;0;1.0;Highly Urban/ Urban;16/01/2022;incomplet;dev_integral;200 - 300€
cryptologue;M;1959;15937078230;FAUX;FAUX;0 - 20K;0 - 0K;Private;Sports Car;1;;z_Highly Rural/ Rural;09/05/2022;complet;dev_express;200 - 300€
agent de développement touristique;M;1961;44386260500;FAUX;FAUX;40 - 60K;Inconnu;Commercial;Pickup;2;8.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;200 - 300€
développeur économique;M;1982;17520686787;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;0;9.0;Highly Urban/ Urban;30/03/2022;complet;dev_express;200 - 300€
enseignant d'art;M;1970;22280097194;FAUX;FAUX;Inconnu;0 - 0K;Private;Minivan;0;17.0;Highly Urban/ Urban;25/01/2022;complet;dev_premium;400 - 500€
conseiller en séjour;F;2001;6468003502;VRAI;VRAI;20 - 40K;0 - 0K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;28/05/2022;complet;dev_express;200 - 300€
ingénieur en acoustique;F;1966;24821745922;FAUX;FAUX;Inconnu;0 - 0K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;16/04/2022;incomplet;dev_integral;300 - 400€
géochimiste;M;1974;18526362673;FAUX;FAUX;40 - 60K;200 - 300K;Private;Minivan;0;13.0;Highly Urban/ Urban;12/02/2022;complet;dev_premium;+ 500€
hydrogéologue;M;1965;19420012486;FAUX;VRAI;40 - 60K;100 - 200K;Private;Sports Car;0;2.0;z_Highly Rural/ Rural;11/01/2022;complet;dev_integral;200 - 300€
juge d'instruction;M;1943;14859212658;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Minivan;3;1.0;Highly Urban/ Urban;15/04/2022;complet;dev_express;200 - 300€
technicien de la circulation ferroviaire SNCF;M;1944;37664878902;FAUX;FAUX;60 - 80K;200 - 300K;Private;Pickup;0;12.0;Highly Urban/ Urban;01/03/2022;incomplet;dev_express;200 - 300€
chef de projet multimédia;F;2012;55359890924;FAUX;VRAI;20 - 40K;100 - 200K;Private;Minivan;1;1.0;Highly Urban/ Urban;28/03/2022;complet;dev_premium;300 - 400€
toiletteur d'animaux;F;2018;7931137776;FAUX;FAUX;+ 80K;200 - 300K;Private;Sports Car;6;1.0;Highly Urban/ Urban;26/02/2022;complet;dev_premium;400 - 500€
enseignant d'art;M;1960;57724227365;FAUX;FAUX;Inconnu;100 - 200K;Commercial;Panel Truck;3;9.0;Highly Urban/ Urban;20/03/2022;incomplet;dev_integral;300 - 400€
modéliste;M;1961;26437967260;FAUX;FAUX;40 - 60K;0 - 0K;Private;Van;0;1.0;Highly Urban/ Urban;17/01/2022;complet;dev_express;200 - 300€
ascensoriste;F;1953;47756552605;FAUX;FAUX;60 - 80K;100 - 200K;Private;Pickup;4;11.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;200 - 300€
miroitier;F;1972;55664176639;FAUX;FAUX;20 - 40K;Inconnu;Commercial;Pickup;1;5.0;z_Highly Rural/ Rural;12/01/2022;complet;dev_integral;200 - 300€
géomaticien;M;1962;25179463512;FAUX;FAUX;20 - 40K;0 - 0K;Private;Minivan;7;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;200 - 300€
conseiller agricole;F;1987;51748459270;VRAI;VRAI;40 - 60K;100 - 200K;Private;Minivan;0;6.0;Highly Urban/ Urban;17/04/2022;complet;dev_integral;200 - 300€
ingénieur matériaux;F;1996;21755427953;FAUX;VRAI;+ 80K;Inconnu;Commercial;Panel Truck;5;16.0;Highly Urban/ Urban;25/05/2022;incomplet;dev_integral;200 - 300€
guichetier;M;1981;17741114327;FAUX;VRAI;60 - 80K;200 - 300K;Private;Van;1;8.0;Highly Urban/ Urban;05/05/2022;complet;dev_integral;300 - 400€
conducteur de bus ou d'autocar;M;2004;48361201420;FAUX;FAUX;60 - 80K;0 - 0K;Commercial;z_SUV;0;1.0;Highly Urban/ Urban;28/02/2022;complet;dev_integral;300 - 400€
mécatronicien;M;1957;54015537692;FAUX;VRAI;0 - 20K;0 - 100K;Commercial;Pickup;2;12.0;Highly Urban/ Urban;12/02/2022;complet;dev_integral;300 - 400€
conducteur de travaux;F;2000;7747425759;FAUX;VRAI;40 - 60K;200 - 300K;Private;Minivan;0;1.0;Highly Urban/ Urban;07/01/2022;complet;dev_integral;300 - 400€
agent d'exploitation de l'eau;M;1971;50815872053;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;6;11.0;Highly Urban/ Urban;07/01/2022;complet;dev_integral;300 - 400€
paléontologue;M;2013;54194986074;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Panel Truck;4;17.0;Highly Urban/ Urban;12/01/2022;complet;dev_express;200 - 300€
dépanneur en électroménager;M;1962;3822005663;FAUX;FAUX;60 - 80K;0 - 0K;Private;Minivan;1;12.0;Highly Urban/ Urban;24/05/2022;complet;dev_premium;400 - 500€
spécialiste de l'accessibilité numérique;M;1936;8055253126;VRAI;VRAI;+ 80K;Inconnu;Commercial;Van;2;4.0;Highly Urban/ Urban;18/05/2022;incomplet;dev_express;200 - 300€
employé d'élevage;M;1999;16594117924;FAUX;VRAI;Inconnu;400 - 500K;Commercial;Panel Truck;0;14.0;Highly Urban/ Urban;25/03/2022;complet;dev_integral;200 - 300€
pilote de ligne;F;1968;52410658514;FAUX;VRAI;20 - 40K;0 - 0K;Private;Sports Car;2;1.0;Highly Urban/ Urban;30/04/2022;incomplet;dev_express;200 - 300€
chef de projet sites et sols pollués;F;1951;31193209730;VRAI;VRAI;0 - 20K;100 - 200K;Private;Minivan;0;5.0;Highly Urban/ Urban;02/01/2022;complet;dev_integral;300 - 400€
ingénieur analyste de l'air;M;1983;37947125049;FAUX;VRAI;60 - 80K;200 - 300K;Commercial;Minivan;1;12.0;z_Highly Rural/ Rural;01/03/2022;complet;dev_integral;300 - 400€
magistrat;F;1965;25409535782;FAUX;VRAI;+ 80K;300 - 400K;Private;Minivan;5;11.0;Highly Urban/ Urban;28/01/2022;complet;dev_express;200 - 300€
consultant en solutions intégrées;M;1932;3794201382;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;9.0;Highly Urban/ Urban;29/04/2022;complet;dev_premium;300 - 400€
chef de projet éolien;M;1970;55321943068;FAUX;FAUX;60 - 80K;100 - 200K;Commercial;z_SUV;0;9.0;Highly Urban/ Urban;20/01/2022;complet;dev_integral;200 - 300€
esthéticien-cosméticien;M;1968;58698755145;VRAI;VRAI;+ 80K;200 - 300K;Commercial;Minivan;0;12.0;Highly Urban/ Urban;06/05/2022;complet;dev_express;200 - 300€
mécanicien-réparateur en matériel agricole;M;1954;22711138863;FAUX;VRAI;0 - 20K;100 - 200K;Private;z_SUV;0;8.0;Highly Urban/ Urban;14/03/2022;complet;dev_express;200 - 300€
chargé hygiène sécurité environnement (HSE);F;1958;42865765541;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Minivan;2;6.0;Highly Urban/ Urban;20/03/2022;complet;dev_express;200 - 300€
responsable e-CRM;F;1967;13753164143;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;0;14.0;Highly Urban/ Urban;18/01/2022;complet;dev_premium;300 - 400€
technicien de police technique et scientifique;F;1971;5426283985;VRAI;VRAI;20 - 40K;100 - 200K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;23/01/2022;complet;dev_premium;400 - 500€
comédien;F;1945;25250465469;VRAI;VRAI;40 - 60K;100 - 200K;Private;Sports Car;0;11.0;z_Highly Rural/ Rural;07/01/2022;complet;dev_express;200 - 300€
brodeur;F;1961;2652089117;VRAI;VRAI;0 - 20K;100 - 200K;Private;Pickup;0;7.0;Highly Urban/ Urban;02/01/2022;complet;dev_integral;300 - 400€
ingénieur d'études en sûreté nucléaire;M;2014;17692316548;VRAI;VRAI;40 - 60K;0 - 0K;Commercial;Sports Car;2;1.0;Highly Urban/ Urban;23/05/2022;complet;dev_integral;300 - 400€
expert-comptable;M;2019;40904236319;FAUX;FAUX;60 - 80K;200 - 300K;Private;Minivan;0;15.0;Highly Urban/ Urban;29/05/2022;complet;dev_integral;300 - 400€
surveillant de centre pénitentiaire;M;1953;23900514907;FAUX;FAUX;0 - 20K;100 - 200K;Private;z_SUV;0;13.0;z_Highly Rural/ Rural;09/02/2022;complet;dev_integral;300 - 400€
animateur d'activités physiques et sportives pour tous;M;1966;8358946304;FAUX;VRAI;+ 80K;300 - 400K;Private;Minivan;2;11.0;Highly Urban/ Urban;17/02/2022;complet;dev_express;200 - 300€
consultant en validation;M;1953;6549519436;FAUX;FAUX;+ 80K;0 - 0K;Private;z_SUV;0;12.0;Highly Urban/ Urban;06/05/2022;complet;dev_integral;300 - 400€
viticulteur;F;1974;58646065018;FAUX;FAUX;60 - 80K;200 - 300K;Private;Pickup;0;11.0;Highly Urban/ Urban;25/01/2022;complet;dev_integral;300 - 400€
ingénieur maintenance aéronautique;M;1986;13726251411;FAUX;FAUX;Inconnu;200 - 300K;Commercial;Panel Truck;1;14.0;Highly Urban/ Urban;25/03/2022;incomplet;dev_integral;300 - 400€
technicien en automatismes;F;1994;33665120281;FAUX;VRAI;20 - 40K;100 - 200K;Private;Van;4;9.0;Highly Urban/ Urban;01/01/2022;complet;dev_integral;300 - 400€
ingénieur du son;M;1990;41305808255;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;0;8.0;Highly Urban/ Urban;02/04/2022;complet;dev_integral;200 - 300€
assistant de gestion en PME;M;1954;45903221831;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;2;1.0;Highly Urban/ Urban;14/04/2022;complet;dev_integral;200 - 300€
ingénieur aromaticien aromaticienne;M;2006;27733598410;FAUX;FAUX;0 - 20K;0 - 100K;Commercial;Minivan;7;1.0;z_Highly Rural/ Rural;07/03/2022;complet;dev_express;200 - 300€
responsable d'élevage agricole;M;2002;52641673899;FAUX;FAUX;40 - 60K;200 - 300K;Commercial;Sports Car;1;;Highly Urban/ Urban;04/04/2022;complet;dev_premium;+ 500€
assistant de service social;M;1964;7952857151;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;1;13.0;Highly Urban/ Urban;20/04/2022;complet;dev_express;200 - 300€
